fake_Sequence_1262	38911f431138caa82cbd3dbe880b7c4e	105	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	6	-	T	31-10-2023	-	-
fake_Sequence_1262	38911f431138caa82cbd3dbe880b7c4e	105	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	18	22	-	T	31-10-2023	-	-
fake_Sequence_1262	38911f431138caa82cbd3dbe880b7c4e	105	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	5	22	-	T	31-10-2023	-	-
fake_Sequence_1262	38911f431138caa82cbd3dbe880b7c4e	105	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	23	105	-	T	31-10-2023	-	-
fake_Sequence_1262	38911f431138caa82cbd3dbe880b7c4e	105	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	7	17	-	T	31-10-2023	-	-
fake_Sequence_1262	38911f431138caa82cbd3dbe880b7c4e	105	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	22	-	T	31-10-2023	-	-
fake_Sequence_1262	38911f431138caa82cbd3dbe880b7c4e	105	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	22	-	T	31-10-2023	-	-
fake_Sequence_1262	38911f431138caa82cbd3dbe880b7c4e	105	Pfam	PF11006	Protein of unknown function (DUF2845)	21	101	4.8E-19	T	31-10-2023	IPR021268	Protein of unknown function DUF2845	-	-
fake_Sequence_1291	3829292ce3ccd9d086153c164a8b2868	281	PANTHER	PTHR43404	LIPOPOLYSACCHARIDE CHOLINEPHOSPHOTRANSFERASE LICD	2	278	4.2E-46	T	31-10-2023	-	-
fake_Sequence_1291	3829292ce3ccd9d086153c164a8b2868	281	Pfam	PF04991	LicD family	25	246	1.7E-50	T	31-10-2023	IPR007074	LicD family	-	MetaCyc: PWY-5381|MetaCyc: PWY-5800|MetaCyc: PWY-6148|MetaCyc: PWY-6350|MetaCyc: PWY-6580|MetaCyc: PWY-6720|MetaCyc: PWY-6804|MetaCyc: PWY-7018|MetaCyc: PWY-7025|MetaCyc: PWY-7450|MetaCyc: PWY-7815|MetaCyc: PWY-7816|MetaCyc: PWY-7817|MetaCyc: PWY-7818|MetaCyc: PWY-7819|MetaCyc: PWY-7820|MetaCyc: PWY-7981|MetaCyc: PWY-8248
fake_Sequence_1239	06748dd300a097e115784e5483d54e89	150	CDD	cd09030	DUF1425	55	146	4.08725E-33	T	31-10-2023	IPR010824	Protein of unknown function DUF1425	-	-
fake_Sequence_1239	06748dd300a097e115784e5483d54e89	150	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	24	28	-	T	31-10-2023	-	-
fake_Sequence_1239	06748dd300a097e115784e5483d54e89	150	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	11	-	T	31-10-2023	-	-
fake_Sequence_1239	06748dd300a097e115784e5483d54e89	150	Pfam	PF07233	Protein of unknown function (DUF1425)	53	147	1.1E-25	T	31-10-2023	IPR010824	Protein of unknown function DUF1425	-	-
fake_Sequence_1239	06748dd300a097e115784e5483d54e89	150	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	28	-	T	31-10-2023	-	-
fake_Sequence_1239	06748dd300a097e115784e5483d54e89	150	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	29	150	-	T	31-10-2023	-	-
